SNR(dB),BER
0.000000000000000000e+00,1.588615624999999976e-01
2.000000000000000000e+00,1.041300000000000003e-01
4.000000000000000000e+00,5.655656249999999746e-02
6.000000000000000000e+00,2.294187500000000046e-02
8.000000000000000000e+00,5.972499999999999511e-03
1.000000000000000000e+01,7.815624999999999222e-04
1.200000000000000000e+01,3.750000000000000349e-05
1.400000000000000000e+01,6.250000000000000511e-07
1.600000000000000000e+01,0.000000000000000000e+00
1.800000000000000000e+01,0.000000000000000000e+00
2.000000000000000000e+01,0.000000000000000000e+00
