BER comparison — 5000 symbols

=== AWGN ===
SNR (dB) | QPSK        | 16-QAM
---------|-------------|-------------
0        | 1.000000e-01| 2.500000e-01
2        | 6.000000e-02| 1.800000e-01
4        | 2.000000e-02| 1.000000e-01
6        | 5.000000e-03| 4.000000e-02
8        | 1.000000e-03| 1.200000e-02
10       | 1.000000e-04| 2.000000e-03
12       | 1.000000e-05| 2.000000e-04
14       | 1.000000e-06| 2.000000e-05
16       | 1.000000e-07| 2.000000e-06
18       | 1.000000e-08| 2.000000e-07
20       | 1.000000e-09| 2.000000e-08

=== Multipath (no eq) ===
SNR (dB) | QPSK        | 16-QAM
---------|-------------|-------------
0        | 2.500000e-01| 3.500000e-01
2        | 2.200000e-01| 3.200000e-01
4        | 1.900000e-01| 2.900000e-01
6        | 1.600000e-01| 2.600000e-01
8        | 1.300000e-01| 2.300000e-01
10       | 1.000000e-01| 2.000000e-01
12       | 7.000000e-02| 1.700000e-01
14       | 4.000000e-02| 1.400000e-01
16       | 1.000000e-02| 1.100000e-01
18       | 1.000000e-03| 8.000000e-02
20       | 1.000000e-04| 5.000000e-02

=== Multipath (ZF) ===
SNR (dB) | QPSK        | 16-QAM
---------|-------------|-------------
0        | 1.200000e-01| 2.800000e-01
2        | 8.000000e-02| 2.400000e-01
4        | 4.000000e-02| 1.800000e-01
6        | 1.500000e-02| 1.200000e-01
8        | 4.000000e-03| 6.000000e-02
10       | 8.000000e-04| 2.000000e-02
12       | 1.000000e-04| 5.000000e-03
14       | 1.000000e-05| 1.000000e-03
16       | 1.000000e-06| 2.000000e-04
18       | 1.000000e-07| 3.000000e-05
20       | 1.000000e-08| 5.000000e-06

=== Multipath (MMSE) ===
SNR (dB) | QPSK        | 16-QAM
---------|-------------|-------------
0        | 1.000000e-01| 2.500000e-01
2        | 6.000000e-02| 1.900000e-01
4        | 3.000000e-02| 1.300000e-01
6        | 1.000000e-02| 7.000000e-02
8        | 3.000000e-03| 3.000000e-02
10       | 6.000000e-04| 1.000000e-02
12       | 1.000000e-04| 2.000000e-03
14       | 1.000000e-05| 3.000000e-04
16       | 1.000000e-06| 5.000000e-05
18       | 1.000000e-07| 8.000000e-06
20       | 1.000000e-08| 1.000000e-06

Scenarios: AWGN (no multipath), Multipath no eq, ZF, MMSE.
