SNR_dB,Scenario,Modulation,BER
0,AWGN,QPSK,1.585997e-01
0,AWGN,16QAM,2.871467e-01
0,Multipath_noeq,QPSK,1.925888e-01
0,Multipath_noeq,16QAM,3.123020e-01
0,Multipath_ZF,QPSK,1.750081e-01
0,Multipath_ZF,16QAM,2.964113e-01
0,Multipath_MMSE,QPSK,1.750081e-01
0,Multipath_MMSE,16QAM,3.084295e-01
2,AWGN,QPSK,1.039897e-01
2,AWGN,16QAM,2.372833e-01
2,Multipath_noeq,QPSK,1.459668e-01
2,Multipath_noeq,16QAM,2.714469e-01
2,Multipath_ZF,QPSK,1.241233e-01
2,Multipath_ZF,16QAM,2.509219e-01
2,Multipath_MMSE,QPSK,1.241233e-01
2,Multipath_MMSE,16QAM,2.651057e-01
4,AWGN,QPSK,5.650641e-02
4,AWGN,16QAM,1.876728e-01
4,Multipath_noeq,QPSK,1.037243e-01
4,Multipath_noeq,16QAM,2.320494e-01
4,Multipath_ZF,QPSK,7.890709e-02
4,Multipath_ZF,16QAM,2.043574e-01
4,Multipath_MMSE,QPSK,7.890709e-02
4,Multipath_MMSE,16QAM,2.196582e-01
6,AWGN,QPSK,2.299809e-02
6,AWGN,16QAM,1.414665e-01
6,Multipath_noeq,QPSK,6.898619e-02
6,Multipath_noeq,16QAM,1.975206e-01
6,Multipath_ZF,QPSK,4.399619e-02
6,Multipath_ZF,16QAM,1.588183e-01
6,Multipath_MMSE,QPSK,4.399619e-02
6,Multipath_MMSE,16QAM,1.736963e-01
8,AWGN,QPSK,6.009187e-03
8,AWGN,16QAM,9.812744e-02
8,Multipath_noeq,QPSK,4.229337e-02
8,Multipath_noeq,16QAM,1.695160e-01
8,Multipath_ZF,QPSK,2.095734e-02
8,Multipath_ZF,16QAM,1.158336e-01
8,Multipath_MMSE,QPSK,2.095734e-02
8,Multipath_MMSE,16QAM,1.288865e-01
10,AWGN,QPSK,7.853437e-04
10,AWGN,16QAM,5.903512e-02
10,Multipath_noeq,QPSK,2.282531e-02
10,Multipath_noeq,16QAM,1.486783e-01
10,Multipath_ZF,QPSK,8.002313e-03
10,Multipath_ZF,16QAM,7.785361e-02
10,Multipath_MMSE,QPSK,8.002313e-03
10,Multipath_MMSE,16QAM,8.803642e-02
12,AWGN,QPSK,3.296875e-05
12,AWGN,16QAM,2.813511e-02
12,Multipath_noeq,QPSK,1.013434e-02
12,Multipath_noeq,16QAM,1.340947e-01
12,Multipath_ZF,QPSK,2.171000e-03
12,Multipath_ZF,16QAM,4.714598e-02
12,Multipath_MMSE,QPSK,2.171000e-03
12,Multipath_MMSE,16QAM,5.418475e-02
14,AWGN,QPSK,4.375000e-07
14,AWGN,16QAM,9.362266e-03
14,Multipath_noeq,QPSK,3.335469e-03
14,Multipath_noeq,16QAM,1.245061e-01
14,Multipath_ZF,QPSK,3.420000e-04
14,Multipath_ZF,16QAM,2.515334e-02
14,Multipath_MMSE,QPSK,3.420000e-04
14,Multipath_MMSE,16QAM,2.940423e-02
16,AWGN,QPSK,0.000000e+00
16,AWGN,16QAM,1.785156e-03
16,Multipath_noeq,QPSK,6.927500e-04
16,Multipath_noeq,16QAM,1.185570e-01
16,Multipath_ZF,QPSK,2.284375e-05
16,Multipath_ZF,16QAM,1.134969e-02
16,Multipath_MMSE,QPSK,2.284375e-05
16,Multipath_MMSE,16QAM,1.358175e-02
18,AWGN,QPSK,0.000000e+00
18,AWGN,16QAM,1.427187e-04
18,Multipath_noeq,QPSK,6.915625e-05
18,Multipath_noeq,16QAM,1.151382e-01
18,Multipath_ZF,QPSK,4.375000e-07
18,Multipath_ZF,16QAM,4.071031e-03
18,Multipath_MMSE,QPSK,4.375000e-07
18,Multipath_MMSE,16QAM,5.021359e-03
20,AWGN,QPSK,0.000000e+00
20,AWGN,16QAM,2.609375e-06
20,Multipath_noeq,QPSK,2.593750e-06
20,Multipath_noeq,16QAM,1.138002e-01
20,Multipath_ZF,QPSK,3.125000e-08
20,Multipath_ZF,16QAM,1.047328e-03
20,Multipath_MMSE,QPSK,3.125000e-08
20,Multipath_MMSE,16QAM,1.345687e-03
