SNR_dB,Scenario,Modulation,EVM_pct
0,AWGN,QPSK,100.00
0,AWGN,16QAM,100.01
0,Multipath_noeq,QPSK,106.93
0,Multipath_noeq,16QAM,106.90
0,Multipath_ZF,QPSK,109.33
0,Multipath_ZF,16QAM,109.31
0,Multipath_MMSE,QPSK,72.99
0,Multipath_MMSE,16QAM,72.98
2,AWGN,QPSK,79.42
2,AWGN,16QAM,79.48
2,Multipath_noeq,QPSK,87.98
2,Multipath_noeq,16QAM,87.98
2,Multipath_ZF,QPSK,86.94
2,Multipath_ZF,16QAM,86.97
2,Multipath_MMSE,QPSK,65.36
2,Multipath_MMSE,16QAM,65.38
4,AWGN,QPSK,63.10
4,AWGN,16QAM,63.09
4,Multipath_noeq,QPSK,73.55
4,Multipath_noeq,16QAM,73.57
4,Multipath_ZF,QPSK,69.20
4,Multipath_ZF,16QAM,69.22
4,Multipath_MMSE,QPSK,57.29
4,Multipath_MMSE,16QAM,57.29
6,AWGN,QPSK,50.13
6,AWGN,16QAM,50.12
6,Multipath_noeq,QPSK,62.80
6,Multipath_noeq,16QAM,62.78
6,Multipath_ZF,QPSK,55.16
6,Multipath_ZF,16QAM,55.15
6,Multipath_MMSE,QPSK,49.21
6,Multipath_MMSE,16QAM,49.20
8,AWGN,QPSK,39.79
8,AWGN,16QAM,39.82
8,Multipath_noeq,QPSK,54.92
8,Multipath_noeq,16QAM,54.91
8,Multipath_ZF,QPSK,44.02
8,Multipath_ZF,16QAM,44.02
8,Multipath_MMSE,QPSK,41.53
8,Multipath_MMSE,16QAM,41.53
10,AWGN,QPSK,31.63
10,AWGN,16QAM,31.62
10,Multipath_noeq,QPSK,49.30
10,Multipath_noeq,16QAM,49.29
10,Multipath_ZF,QPSK,35.23
10,Multipath_ZF,16QAM,35.25
10,Multipath_MMSE,QPSK,34.58
10,Multipath_MMSE,16QAM,34.60
12,AWGN,QPSK,25.12
12,AWGN,16QAM,25.11
12,Multipath_noeq,QPSK,45.40
12,Multipath_noeq,16QAM,45.39
12,Multipath_ZF,QPSK,28.33
12,Multipath_ZF,16QAM,28.32
12,Multipath_MMSE,QPSK,28.55
12,Multipath_MMSE,16QAM,28.55
14,AWGN,QPSK,19.95
14,AWGN,16QAM,19.96
14,Multipath_noeq,QPSK,42.76
14,Multipath_noeq,16QAM,42.77
14,Multipath_ZF,QPSK,22.91
14,Multipath_ZF,16QAM,22.92
14,Multipath_MMSE,QPSK,23.49
14,Multipath_MMSE,16QAM,23.49
16,AWGN,QPSK,15.84
16,AWGN,16QAM,15.85
16,Multipath_noeq,QPSK,41.00
16,Multipath_noeq,16QAM,41.01
16,Multipath_ZF,QPSK,18.71
16,Multipath_ZF,16QAM,18.72
16,Multipath_MMSE,QPSK,19.36
16,Multipath_MMSE,16QAM,19.37
18,AWGN,QPSK,12.59
18,AWGN,16QAM,12.59
18,Multipath_noeq,QPSK,39.86
18,Multipath_noeq,16QAM,39.86
18,Multipath_ZF,QPSK,15.49
18,Multipath_ZF,16QAM,15.49
18,Multipath_MMSE,QPSK,16.09
18,Multipath_MMSE,16QAM,16.09
20,AWGN,QPSK,10.00
20,AWGN,16QAM,10.00
20,Multipath_noeq,QPSK,39.12
20,Multipath_noeq,16QAM,39.12
20,Multipath_ZF,QPSK,13.05
20,Multipath_ZF,16QAM,13.05
20,Multipath_MMSE,QPSK,13.55
20,Multipath_MMSE,16QAM,13.55
